warehouse_id,name,region,delivery_month,monthly_inbound_shipments,total_inbound_weight_kg,monthly_freight_cost_usd,monthly_otif_pct
WH-FRA-05,Frankfurt Central DC,Europe,2026-06,84,170727.36000000002,377099.98,84.52
WH-FRA-05,Frankfurt Central DC,Europe,2026-07,20,45258.049999999996,62712.28,75.0
WH-LON-06,London UK Gateway,Europe,2026-01,58,128720.54,290173.86,86.21
WH-LON-06,London UK Gateway,Europe,2026-02,73,170200.96,355834.93,79.45
WH-LON-06,London UK Gateway,Europe,2026-03,79,183256.63,385573.16000000003,84.81
WH-LON-06,London UK Gateway,Europe,2026-04,82,182950.41,384411.41,79.27
WH-LON-06,London UK Gateway,Europe,2026-05,75,167844.61,365410.52,77.33
WH-LON-06,London UK Gateway,Europe,2026-06,63,150264.04,333442.58,79.37
WH-LON-06,London UK Gateway,Europe,2026-07,18,42013.69,79513.3,77.78
WH-ROT-04,Rotterdam Euro Hub,Europe,2026-01,57,124764.26,284044.71,80.7
WH-ROT-04,Rotterdam Euro Hub,Europe,2026-02,86,174490.99,380292.47,79.07
WH-ROT-04,Rotterdam Euro Hub,Europe,2026-03,90,191578.15,407807.08,80.0
WH-ROT-04,Rotterdam Euro Hub,Europe,2026-04,89,219699.62,467686.08,77.53
WH-ROT-04,Rotterdam Euro Hub,Europe,2026-05,89,205533.63999999998,412694.42,79.78
WH-ROT-04,Rotterdam Euro Hub,Europe,2026-06,94,228743.87,471404.92,76.6
WH-ROT-04,Rotterdam Euro Hub,Europe,2026-07,20,46404.6,86405.48,70.0
WH-SEA-01,Seattle Global Hub,North America,2026-01,59,132740.11,294241.18,83.05
WH-SEA-01,Seattle Global Hub,North America,2026-02,75,190840.46,415632.17,76.0
WH-SEA-01,Seattle Global Hub,North America,2026-03,65,135655.07,283146.54,84.62
WH-SEA-01,Seattle Global Hub,North America,2026-04,83,168228.62,327015.48,81.93
WH-SEA-01,Seattle Global Hub,North America,2026-05,86,182524.48,376493.78,83.72
WH-SEA-01,Seattle Global Hub,North America,2026-06,92,215398.03,467356.37,79.35
WH-SEA-01,Seattle Global Hub,North America,2026-07,24,50050.06,84584.24,70.83
WH-SIN-07,Singapore APAC Hub,APAC,2026-01,78,176358.2,404354.71,89.74
WH-SIN-07,Singapore APAC Hub,APAC,2026-02,63,116776.23,243829.1,82.54
WH-SIN-07,Singapore APAC Hub,APAC,2026-03,100,226054.42,476070.34,90.0
WH-SIN-07,Singapore APAC Hub,APAC,2026-04,86,195263.78,400773.83,83.72
WH-SIN-07,Singapore APAC Hub,APAC,2026-05,101,241851.32,527684.71,80.2
WH-SIN-07,Singapore APAC Hub,APAC,2026-06,86,208877.04,457711.45,84.88
WH-SIN-07,Singapore APAC Hub,APAC,2026-07,19,39854.78,73421.6,73.68
WH-SYD-09,Sydney ANZ Hub,APAC,2026-01,63,159480.36000000002,364296.44,84.13
WH-SYD-09,Sydney ANZ Hub,APAC,2026-02,73,176080.43,356482.07,83.56
WH-SYD-09,Sydney ANZ Hub,APAC,2026-03,78,180128.31,383303.93,75.64
WH-SYD-09,Sydney ANZ Hub,APAC,2026-04,85,189863.38,387462.57,83.53
WH-SYD-09,Sydney ANZ Hub,APAC,2026-05,90,198232.81,395063.76,87.78
WH-SYD-09,Sydney ANZ Hub,APAC,2026-06,91,230020.08,484142.06,84.62
WH-SYD-09,Sydney ANZ Hub,APAC,2026-07,22,64660.92,120702.46,77.27
WH-TYO-08,Tokyo East DC,APAC,2026-01,72,172487.43,394033.4,84.72
WH-TYO-08,Tokyo East DC,APAC,2026-02,83,195026.41,409185.32,79.52
WH-TYO-08,Tokyo East DC,APAC,2026-03,73,177869.18,380966.33,87.67
WH-TYO-08,Tokyo East DC,APAC,2026-04,95,207997.61,434098.44,88.42
WH-TYO-08,Tokyo East DC,APAC,2026-05,73,172146.21,394148.19,76.71
WH-TYO-08,Tokyo East DC,APAC,2026-06,82,187623.38,418994.63,79.27
WH-TYO-08,Tokyo East DC,APAC,2026-07,24,60243.47,100999.92,58.33
